nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
9,7,40,following,1.4,0.0,1.317189800000051,1.2,1.317189800000051,following,1.0,1.3285746000001382,0.8,0.0706983999989461,-0.0121914000010292,False,1
9,7,41,reproduction,1.2,0.8585856999998214,0.0,,0.8585856999998214,following,1.4,1.317189800000051,1.2,,,False,1
9,7,42,reproduction,1.2,1.0115100999973947,0.0,,1.0115100999973947,reproduction,1.2,0.8585856999998214,,,,False,1
9,7,43,reproduction,1.4,1.0585190000019793,0.0,,1.0585190000019793,reproduction,1.2,1.0115100999973947,,,,False,1
9,7,44,reproduction,0.9,1.046758399999817,0.0,,1.046758399999817,reproduction,1.4,1.0585190000019793,,,,False,1
9,7,45,reproduction,1.3,0.9879642999985664,0.0,,0.9879642999985664,reproduction,0.9,1.046758399999817,,,,False,1
9,7,46,reproduction,1.0,1.1291325999991386,0.0,,1.1291325999991386,reproduction,1.3,0.9879642999985664,,,,False,1
9,7,47,following,0.9,0.0,1.1996397999973851,1.2,1.1996397999973851,reproduction,1.0,1.1291325999991386,,-0.0233905999994021,0.2706374999979744,False,1
9,7,48,following,0.8,0.0,0.9409072000016748,0.9,0.9409072000016748,following,0.9,1.1996397999973851,1.2,0.1647794999989855,0.3059290000019246,False,1
9,7,49,reproduction,0.9,0.9997413999990384,0.0,,0.9997413999990384,following,0.8,0.9409072000016748,0.9,,,False,1
9,7,50,reproduction,0.9,0.8468156999988423,0.0,,0.8468156999988423,reproduction,0.9,0.9997413999990384,,,,False,1
9,7,51,reproduction,1.4,1.376086000000214,0.0,,1.376086000000214,reproduction,0.9,0.8468156999988423,,,,False,1
9,7,52,following,1.1,0.0,1.2937156000007235,0.8,1.2937156000007235,reproduction,1.4,1.376086000000214,,0.070711600001232,0.2588843000012275,False,1
9,7,53,following,0.9,0.0,1.4230773000017507,1.2,1.4230773000017507,following,1.1,1.2937156000007235,0.8,-0.082198200001585,0.4352595000018482,False,1
9,7,54,reproduction,1.0,1.1408583999982511,0.0,,1.1408583999982511,following,0.9,1.4230773000017507,1.2,,,False,1
9,7,55,reproduction,1.0,0.9291506999979902,0.0,,0.9291506999979902,reproduction,1.0,1.1408583999982511,,,,False,1
9,7,56,following,1.2,0.0,2.399266800002806,1.3,2.399266800002806,reproduction,1.0,0.9291506999979902,,0.0236685999989276,1.2232966000010492,False,1
9,8,1,following,0.8,0.0,1.0702679000023636,1.4,1.0702679000023636,,,,1.3,0.0354295999968599,0.3059276999993017,False,1
9,8,2,following,1.2,0.0,1.1407663000027242,0.9,1.1407663000027242,following,0.8,1.0702679000023636,1.4,0.0471751000004587,-0.0116937999991932,False,1
9,8,3,following,0.9,0.0,0.917362400003185,1.1,0.917362400003185,following,1.2,1.1407663000027242,0.9,0.0119028999974943,0.0236596000031568,False,1
9,8,4,reproduction,1.3,0.7997887000019546,0.0,,0.7997887000019546,following,0.9,0.917362400003185,1.1,,,False,1
9,8,5,reproduction,0.9,0.8238573999988148,0.0,,0.8238573999988148,reproduction,1.3,0.7997887000019546,,,,False,1
9,8,6,following,0.9,0.0,1.1173057999985758,0.9,1.1173057999985758,reproduction,0.9,0.8238573999988148,,0.0589448999999149,0.2706340999975509,False,1
9,8,7,reproduction,0.9,0.8703365999972448,0.0,,0.8703365999972448,following,0.9,1.1173057999985758,0.9,,,False,1
9,8,8,following,1.0,0.0,1.2937141000002157,1.3,1.2937141000002157,reproduction,0.9,0.8703365999972448,,-0.0704554000003554,0.2235795999986294,False,1
9,8,9,reproduction,1.0,1.0468002000015986,0.0,,1.0468002000015986,following,1.0,1.2937141000002157,1.3,,,False,1
9,8,10,following,0.9,0.0,1.1408478999983345,1.1,1.1408478999983345,reproduction,1.0,1.0468002000015986,,0.0236427999989246,0.2588765000000421,False,1
9,8,11,following,0.9,0.0,0.9408922000002348,0.8,0.9408922000002348,following,0.9,1.1408478999983345,1.1,-0.0116343000008782,0.0236569000012423,False,1
9,8,12,reproduction,1.2,1.011513500001456,0.0,,1.011513500001456,following,0.9,0.9408922000002348,0.8,,,False,1
9,8,13,following,1.3,0.0,1.2466298999970604,0.9,1.2466298999970604,reproduction,1.2,1.011513500001456,,0.0471677000023191,-0.0116906000002927,False,1
9,8,14,reproduction,1.2,0.9056369000027188,0.0,,0.9056369000027188,following,1.3,1.2466298999970604,0.9,,,False,1
9,8,15,following,1.1,0.0,1.1408191999980772,1.3,1.1408191999980772,reproduction,1.2,0.9056369000027188,,0.0707311000005574,0.1059815000007802,False,1
9,8,16,following,1.4,0.0,1.364245500000834,1.1,1.364245500000834,following,1.1,1.1408191999980772,1.3,0.0236275999995996,-0.0116946000016469,False,1
9,8,17,following,1.3,0.0,1.3761169999997946,0.8,1.3761169999997946,following,1.4,1.364245500000834,1.1,-0.0586858999995456,0.0119316999989678,False,1
9,8,18,following,1.2,0.0,1.211374500002421,1.0,1.211374500002421,following,1.3,1.3761169999997946,0.8,0.0354348999971989,0.0471573999998327,False,1
9,8,19,reproduction,1.1,1.1291067999991355,0.0,,1.1291067999991355,following,1.2,1.211374500002421,1.0,,,False,1
9,8,20,reproduction,1.0,1.011489000000438,0.0,,1.011489000000438,reproduction,1.1,1.1291067999991355,,,,False,1
9,8,21,following,1.3,0.0,1.2113759999992908,1.4,1.2113759999992908,reproduction,1.0,1.011489000000438,,0.1648010000026261,0.0707067000003007,False,1
9,8,22,following,0.8,0.0,1.1525194000023475,0.8,1.1525194000023475,following,1.3,1.2113759999992908,1.4,-0.0469063000014102,0.3058836000022893,False,1
